URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0,0,0,0,0,0,0,0,0,0,0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,38,0.208333331,0.049880331,20.4875,0.303233679,8.316293472,20.4875,497,817,2264,599,4.15314216
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,37,0.26732673,0.036608376,22.47058824,0.416753927,9.154936865,22.47058824,796,1055,3120,868,4.784293194
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59,27,0.372093019,0.035047494,19.29347826,0.341408451,7.853954685,19.29347826,606,945,2557,661,4.314929577
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,55,23,0.410256405,0.024360308,25.1038961,0.354888774,10.18351395,25.1038961,686,1038,2833,738,4.449560269
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,22,0.312499995,0.032290159,25.39285714,0.332630098,10.2901949,25.39285714,473,720,2033,520,4.335443038
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.333333323,0.026418026,18.66666667,0.354761905,7.608571429,18.66666667,298,432,1243,308,4.419047619
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,0,0,0,0,0,0,0,0,0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,13,0.434782599,0.035169588,22.16666667,0.328320802,8.997994987,22.16666667,262,429,1088,260,4.253132832
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,33,0.312499997,0.028967391,29.79012346,0.357231662,12.05894205,29.79012346,862,1284,3629,934,4.394529631
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,54,-0.102040815,0.044543768,24.52747253,0.374103943,9.960630588,24.52747253,835,1189,3171,752,4.234767025
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,22,0.199999996,0.032599119,22.44827586,0.415514593,9.145516182,22.44827586,541,727,2139,656,4.928571429
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,29,0,0.038821954,17.38271605,0.340909091,7.089450056,17.38271605,480,807,2006,540,4.316761364
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,56,24,0.399999995,0.032317881,29.40983607,0.325529543,11.89414624,29.40983607,584,885,2669,701,4.415273133
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0,0,0,0,0,0,0,0,0,0,0,0,0
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.999999958,0.00330033,25.77272727,0.409171076,10.47275934,25.77272727,232,318,927,244,4.844797178
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75,39,0.315789471,0.053201339,210,0.325396825,84.13015873,210,615,955,2816,727,4.553439153
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17,0,0.999999941,0.00229885,18.88888889,0.374117647,7.705202614,18.88888889,318,456,1273,316,4.498823529
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.473684186,0.012272834,20.175,0.402726146,8.231090458,20.175,325,431,1315,358,4.755885998
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-0.999999667,0.020833337,29.42857143,0.441747573,11.9481276,29.42857143,91,115,341,87,4.703883495
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,0,0,0,0,0,0,0,0,0
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23,69,-0.499999995,0.086818758,27.78181818,0.388743455,11.26822465,27.78181818,594,824,2316,566,4.589005236
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,15,0.032258063,0.038445673,27.79310345,0.374689826,11.26711731,27.79310345,302,426,1218,326,4.44292804
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,56,38,0.19148936,0.039454018,19.44545455,0.324450678,7.907962089,19.44545455,694,1076,3079,848,4.302945302
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,41,3,0.863636344,0.009881423,16.88636364,0.376850606,6.905285697,16.88636364,280,398,1131,277,4.511440108
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,5,0,0.9999998,0.004608294,24.64705882,0.324582339,9.988656465,24.64705882,136,242,598,143,4.482100239
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,20,8,0.428571413,0.018606118,26.02857143,0.329308452,10.54315195,26.02857143,300,495,1273,285,4.257958288
